Name,Qty,Reference(s),Value,Part URL
Microcontroller,1,IC1,Atmega328P,https://www.adafruit.com/product/123
RTC,1,IC2,Adafruit PCF8523,https://www.adafruit.com/product/3295
SD Slot,1,IC3,BOB-00544,https://www.digikey.com/en/products/detail/sparkfun-electronics/BOB-00544/5824094?utm_adgroup=Adapter%2C%20Breakout%20Boards&utm_source=google&utm_medium=cpc&utm_campaign=Shopping_Product_Prototyping%2C%20Fabrication%20Products&utm_term=&utm_content=Adapter%2C%20Breakout%20Boards&gclid=CjwKCAjwzeqVBhAoEiwAOrEmzYhFS21fM-lQxtBldfz6l4nZ0L46poPAZCc7o_-brUIndqC0W6J0NxoCiekQAvD_BwE
Wire,1,Wire,22 AWG Solid Core,https://www.adafruit.com/product/1311?gclid=CjwKCAjwzeqVBhAoEiwAOrEmzVvgmy_9hp8ac-JzXKNg_D0DuZNdtKCsHRO33mShK4EgwHcqufo7bhoCM6wQAvD_BwE
Crystal,1,X1,8Mhz,https://www.adafruit.com/product/2213
Crystal Capacitors,2,"C1,C2",20pF,Included with Crystal
Reset Button,1,B1,6mm,https://www.adafruit.com/product/367
Battery,1,Bat,3.7V Li-Ion,https://www.adafruit.com/product/354
Magnetometer,1,IC4,LIS3MDL,https://www.pololu.com/product/2737
Header Pins,1,P1,,https://www.adafruit.com/product/3002
Prog Capacitor,1,C3,.1 uF,https://www.adafruit.com/product/753
Coin Battery,1,B2,CR1220,https://www.adafruit.com/product/380
Proto Board,1,Board,Perma-Proto,https://www.adafruit.com/product/1609
